student_id,first_name,last_name,age,gender
1,John,Clark,20.0,F
2,Anthony,Rice,24.0,M
3,Tammy,Ramirez,,F
4,Kari,Nguyen,20.0,M
5,Danielle,Mccann,20.0,F
6,Thomas,Rivera,20.0,F
7,Daniel,Williams,,Unknown
8,Gwendolyn,Davis,20.0,F
9,Thomas,Charles,18.0,M
10,Brian,Bryan,,F
11,Jamie,Bowen,,Unknown
12,Amy,Manning,,M
13,Theresa,Wood,,M
14,Brenda,Sloan,,F
15,Chelsey,Nelson DVM,20.0,F
16,Brent,Chan,,M
17,Lisa,Shaffer,,M
18,Mike,Reynolds,20.0,F
19,Sean,Wood,,F
20,Lisa,Mcknight,19.0,Unknown
21,Jonathan,Blackwell,17.0,Unknown
22,Joshua,Sanchez,,F
23,Briana,Beltran,,M
24,Heather,Friedman,,Unknown
25,Emily,Williams,,F
26,Miss,Hannah Collins,,F
27,Francisco,Contreras,20.0,M
28,Anthony,Alexander,26.0,Unknown
29,Sierra,Crawford DDS,,M
30,Tiffany,Rivas,30.0,M
31,Jessica,Dickerson,20.0,F
32,Karen,Williams,30.0,Unknown
33,Tim,Holmes,,Unknown
34,Katie,Stewart,,Unknown
35,Amber,Hernandez,20.0,M
36,Kenneth,Reynolds,20.0,Unknown
37,Tammy,Garza,20.0,M
38,Kimberly,Mccormick,,F
39,Dr.,Andrew Campbell,,Unknown
40,Robert,Johnson,20.0,M
41,Bradley,Harris,20.0,Unknown
42,Heather,Miller,,F
43,John,Martinez,20.0,F
44,Stacey,Green,22.0,M
45,Steven,Woodard,,F
46,Scott,Cooley,,F
47,Sean,Solomon,,F
48,Suzanne,Williams,25.0,M
49,Courtney,Garcia,20.0,M
50,Charles,Gibbs,,F
51,Joseph,Miller,28.0,F
52,Mr.,Carlos Lee,20.0,F
53,James,Tucker,,M
54,Nicole,Ellis,,Unknown
55,Michael,Walker,20.0,F
56,Katherine,Andrews,,F
57,Darlene,Buck,17.0,M
58,Steven,Brown,30.0,M
59,Stephanie,Nguyen,20.0,F
60,Cameron,Herrera,24.0,M
61,Patricia,Holmes,,M
62,Zachary,Steele,24.0,M
63,Allison,Patrick MD,19.0,F
64,Damon,Jones,30.0,F
65,John,Harding,24.0,M
66,James,Estes,20.0,F
67,Edward,Webster,24.0,F
68,Marcus,Beard,20.0,F
69,Sierra,Holmes,,F
70,Daniel,Mendoza,20.0,Unknown
71,Tracy,Ruiz,27.0,M
72,Manuel,Clark,18.0,Unknown
73,Danielle,Johnson,28.0,M
74,Keith,Cummings,28.0,M
75,Dawn,Edwards,,Unknown
76,Beth,Wise,,Unknown
77,Jennifer,Gray,26.0,M
78,Lori,Booth,,Unknown
79,Carla,Rivera,,F
80,Richard,Manning,20.0,Unknown
81,Hunter,Williams,20.0,M
82,Marissa,Collier,,M
83,John,Clark,20.0,F
84,Belinda,Taylor,,M
85,Christopher,Jackson,,F
86,David,Martinez,,M
87,Joanna,Schultz,,M
88,Sheri,White,17.0,M
89,Crystal,Fleming MD,,M
90,Luis,Henry,,M
91,James,Cunningham,,Unknown
92,Michael,Wagner,22.0,M
93,Joel,Strong,,Unknown
94,Breanna,Gonzalez,20.0,M
95,Adam,Kerr,20.0,F
96,James,Peterson,20.0,M
97,Dylan,West,20.0,M
98,Renee,Gomez,,F
99,Jackie,Moran,20.0,M
100,Sara,Jackson,27.0,F
101,Amber,Wolf,,F
102,Morgan,Flowers,26.0,F
103,Eric,Gould,27.0,F
104,Xavier,Obrien,18.0,F
105,Elizabeth,Nguyen,20.0,M
106,Heather,Hernandez,21.0,F
107,Christopher,Curtis,,F
108,Charles,Mckinney,,M
109,Kevin,Marshall,,Unknown
110,Michele,Morgan,,Unknown
111,Casey,Thornton,20.0,Unknown
112,Monica,Hubbard,20.0,F
113,Steven,Solis,20.0,F
114,Janice,Rowland,,M
115,Andrea,Hunt,22.0,M
116,Sean,Anderson,20.0,Unknown
117,Jacqueline,Eaton,20.0,F
118,Earl,Gomez,18.0,F
119,Chelsea,Phillips,18.0,Unknown
120,Douglas,Hill,,F
121,Theresa,Garcia,20.0,M
122,Alyssa,Thompson,,Unknown
123,Michael,Moore,,F
124,Mia,Mercado,29.0,M
125,Vincent,Rollins,,M
126,Jeffrey,Scott,,F
127,Gary,Phillips,20.0,F
128,Rodney,Price,17.0,M
129,Amy,Harper,30.0,M
130,Harold,Andrews,26.0,M
131,Ellen,Leon,20.0,M
132,Pamela,Bailey,,M
133,Todd,Arroyo,,Unknown
134,Emily,Marquez,,M
135,Miguel,Williams,17.0,Unknown
136,Christopher,Lee,,F
137,Amy,Bautista,21.0,F
138,Eric,Lara,20.0,F
139,Michelle,Hall,21.0,M
140,Maria,Bailey,,F
141,Brooke,Cooper,,F
142,Jennifer,Lee,24.0,M
143,Cynthia,Baldwin,26.0,M
144,Daniel,Ball,,F
145,Eric,Thomas,,F
146,Andrew,Schultz,,M
147,Stacy,Valenzuela PhD,,M
148,Gregory,Jarvis,,F
149,Sally,Booker,,Unknown
150,Heather,Richardson,,F
151,Angela,Adams,20.0,Unknown
152,Jonathan,Yu,,M
153,Christina,Gonzalez,,F
154,Donna,Garcia,,F
155,Christopher,Trujillo,,M
156,Mr.,Jason Davila,20.0,F
157,Noah,Williams,,F
158,Miranda,Williams,20.0,M
159,Micheal,Ward,,F
160,Curtis,Martinez,,F
161,Edward,Pennington,,M
162,Stacy,Johnson,,F
163,Beth,Carter,20.0,F
164,Courtney,Mclean,,F
165,Emily,Willis,,Unknown
166,Jean,Downs,,Unknown
167,Kevin,Jones,24.0,M
168,Samantha,Harmon,29.0,M
169,Nicholas,Williams,,F
170,Jesse,Washington,20.0,F
171,Philip,Miller,29.0,F
172,Matthew,Mathews,20.0,M
173,Christopher,Chavez,,M
174,Brenda,Joseph,19.0,M
175,Lindsey,Hunt,,M
176,Michael,Singh,,Unknown
177,Beth,Mullins MD,,F
178,Scott,Mcclain,,Unknown
179,Karen,Ward MD,,Unknown
180,Michelle,Alexander,,M
181,Jennifer,Hall,20.0,M
182,Michael,Molina,,F
183,Daniel,Irwin,20.0,Unknown
184,Roger,Austin,,Unknown
185,Kevin,Taylor,,F
186,Michael,Smith,,F
187,Catherine,Martin,,Unknown
188,Lisa,Hernandez,17.0,M
189,Carolyn,Martinez,20.0,F
190,Brandy,Strickland,,Unknown
191,Darrell,Smith,20.0,M
192,Sheila,Stewart,17.0,M
193,Rachel,Esparza,,F
194,Mary,Young,20.0,F
195,Morgan,Taylor,,F
196,Melissa,Casey,20.0,F
197,Jeffrey,White,,F
198,Jesse,Miller,,F
199,Desiree,Vasquez,,Unknown
200,James,Hale,,M
201,Charles,Miller,20.0,M
202,Stephanie,Johnson,21.0,F
203,Patrick,Lopez,18.0,F
204,Charles,Williams,,M
205,Scott,Garcia,,Unknown
206,Nicole,Anderson,20.0,Unknown
207,John,Davis,20.0,F
208,Aaron,Pena,20.0,M
209,Shelby,Barber,24.0,M
210,Martin,Mendez,,M
211,Kevin,Phillips,30.0,M
212,Jason,Pittman,,F
213,Thomas,Hart,30.0,Unknown
214,Kimberly,Mendoza,,M
215,Brenda,Davis,,Unknown
216,Matthew,Francis,,M
217,Michelle,Morgan,,M
218,Dr.,Timothy Ramirez,20.0,M
219,Jeff,Sullivan,30.0,M
220,Paula,Campbell,,F
221,Jill,Campos,25.0,F
222,Christopher,Mitchell,,F
223,Kristen,Freeman,22.0,Unknown
224,Joseph,Sanders,,M
225,Cody,Hendricks,20.0,Unknown
226,Kenneth,Diaz,26.0,F
227,Nicholas,Watts,,Unknown
228,Laura,Leach,20.0,M
229,Micheal,Phillips,,M
230,Christine,Sims,,M
231,Brad,Berg,20.0,M
232,Anna,Taylor,,F
233,Veronica,Meadows,20.0,Unknown
234,Jessica,Sherman,,F
235,Sarah,Mays,20.0,Unknown
236,Elizabeth,Pierce,17.0,F
237,Michael,Hudson,,Unknown
238,Pamela,Chavez,,Unknown
239,Natalie,Haney DVM,20.0,F
240,Carolyn,Ford,25.0,Unknown
241,Nicholas,Chung,,M
242,Trevor,Johnson,,F
243,Amy,Byrd,20.0,M
244,Laura,Williams,18.0,Unknown
245,Olivia,Ball,,F
246,Ryan,Salazar DDS,,F
247,Erin,Briggs,21.0,F
248,David,Meyers,,F
249,Katherine,Walker,20.0,M
250,Taylor,Stewart,,M
251,John,Perez,,M
252,Thomas,Ritter,,M
253,Crystal,Smith,,Unknown
254,Bill,Sutton,20.0,F
255,George,Dyer,17.0,M
256,Kathy,Johnson,20.0,F
257,George,Lewis,,M
258,Leslie,Wilson,20.0,M
259,Jacqueline,Randolph MD,20.0,F
260,Alexander,Sanchez,,F
261,Tiffany,Thomas,20.0,F
262,Kimberly,Woods,20.0,F
263,Jill,Lee,,Unknown
264,Lisa,White,,F
265,Andrew,Erickson,29.0,M
266,Melissa,Reese,,F
267,Elizabeth,Robinson,,Unknown
268,William,Goodwin,20.0,F
269,Ronald,Blake,,M
270,Mr.,David Cochran,25.0,M
271,James,Martinez,,F
272,Michael,Jackson,20.0,M
273,Kristin,Olsen,,M
274,Abigail,Austin,,M
275,Michelle,Brown,20.0,Unknown
276,Melissa,Arnold,,Unknown
277,Bonnie,Campos,27.0,Unknown
278,Patrick,Orozco,30.0,M
279,John,Murphy,,M
280,Beth,Wolfe,,M
281,Tammy,Lindsey,,M
282,Wendy,Hernandez,20.0,F
283,Dana,Rivera,18.0,Unknown
284,Michael,Miller,,F
285,Shelby,Schultz DDS,20.0,Unknown
286,Maria,Powell,20.0,M
287,Anthony,Chavez,,F
288,Scott,Obrien,20.0,M
289,Brittany,Flores,20.0,M
290,Adam,Salinas,30.0,Unknown
291,Karen,Hall,22.0,M
292,Jennifer,Kent DDS,,M
293,Carla,Thomas,20.0,F
294,Jennifer,Reyes,20.0,F
295,Danielle,Wheeler,,F
296,John,Davis,,F
297,Darlene,Nunez,,F
298,Amanda,Ballard,,F
299,Ariel,Delgado,,F
300,Vanessa,Edwards,,M
301,George,Brown,,F
302,Laura,Perkins,,M
303,Adam,Jackson,28.0,F
304,Amy,Ward DDS,,F
305,Larry,Ross,21.0,Unknown
306,Thomas,Cole,20.0,M
307,Michele,Lloyd,,M
308,Teresa,Davis,,F
309,Dorothy,Mata,,M
310,Michele,Mitchell,,M
311,Adam,Douglas,,F
312,Gregory,Dillon,,F
313,Douglas,Gutierrez,20.0,M
314,Kyle,Cole,,Unknown
315,Carolyn,Richardson,,F
316,Wanda,Espinoza,20.0,M
317,Justin,Lynch,,M
318,Stephanie,Jones,20.0,M
319,Mark,Patel,20.0,M
320,Daniel,Pena,,Unknown
321,Alejandra,Long,25.0,M
322,Lauren,Jefferson,,Unknown
323,Sean,Perez,24.0,F
324,Haley,White,20.0,Unknown
325,Jonathan,Simon,,Unknown
326,Christopher,Daniels,20.0,M
327,Adam,Lowe,,Unknown
328,Albert,Martinez,30.0,Unknown
329,Katie,Rodriguez,20.0,F
330,David,Gonzales,,M
331,Daniel,Bush,,Unknown
332,Steven,Collins,,M
333,Jeffrey,Brown,20.0,M
334,Joseph,Schultz,25.0,F
335,Angel,Lee,20.0,F
336,Molly,Bailey,,M
337,Mark,Dixon,,F
338,Mark,Gillespie,,F
339,Theresa,Decker,,Unknown
340,Alex,Collins,,Unknown
341,Sherri,Brown,20.0,M
342,Stephanie,Gonzalez,,Unknown
343,Victoria,Valdez,22.0,Unknown
344,Sara,Parks,17.0,Unknown
345,Juan,Bell,,Unknown
346,Kim,Flores,,Unknown
347,Mr.,Wesley Carr,20.0,M
348,Ruth,Young,,M
349,David,Miller,,M
350,Donald,Shea,20.0,M
351,Christine,Solomon,,F
352,Kristina,Mcgrath,,M
353,Elizabeth,Rivas,20.0,Unknown
354,Kevin,Thornton,20.0,F
355,Christopher,Kim,,M
356,Eric,Moreno,,Unknown
357,Brian,Butler,30.0,Unknown
358,Susan,Johnson,,F
359,Marcus,Shelton,20.0,F
360,Robert,Campos,,M
361,Jeffrey,Lam,22.0,M
362,Mrs.,Joanna Yang DVM,20.0,F
363,Jennifer,Valenzuela,,F
364,Kayla,Turner,,F
365,Jack,Salazar,,F
366,Angela,Washington,20.0,M
367,Deanna,Cantrell,20.0,F
368,Madison,Johnson,,F
369,Louis,Sanchez,,F
370,Regina,Reynolds,,M
371,Ellen,Maxwell,,F
372,Amanda,Hayden,,M
373,John,Johnson,,F
374,Anita,Stevenson,20.0,F
375,Robert,Martinez,24.0,M
376,Michael,Winters,,Unknown
377,Grant,Lyons,20.0,F
378,Patricia,Martinez,20.0,Unknown
379,Kimberly,Lee,20.0,F
380,William,Reeves,20.0,M
381,Christy,Howell,23.0,M
382,Brianna,Rivas,19.0,F
383,William,Flowers,,F
384,Aaron,Carpenter,23.0,F
385,Steve,Howard,18.0,F
386,Julie,Ashley,,M
387,Mrs.,Phyllis Jones,,Unknown
388,Aimee,Robinson,19.0,M
389,Alexis,Morrison,22.0,Unknown
390,Adriana,Coffey,,F
391,Sean,Williams,20.0,M
392,Sarah,Richardson PhD,20.0,F
393,Virginia,Williams,,F
394,John,Fields,20.0,Unknown
395,Chelsea,Sweeney,20.0,M
396,Sharon,Clements,,M
397,Joseph,Robinson,20.0,M
398,Joseph,Sharp,17.0,F
399,Laura,Hall,19.0,F
400,Mitchell,Wells,,M
401,Heather,Pennington,,F
402,Ryan,Ward,26.0,M
403,Richard,Ramos,,Unknown
404,Steven,Ewing,17.0,F
405,Steven,Garcia,,M
406,Mason,Obrien,,F
407,Mathew,Pena,,F
408,Thomas,Velazquez,,M
409,Elizabeth,Riley,,F
410,Brian,Mcmahon,,Unknown
411,Mark,Keller,,M
412,Angela,Barker,,Unknown
413,Maria,Thomas,,M
414,Robert,Hughes,,Unknown
415,Robert,Parker,,F
416,Matthew,Powell,,F
417,Arthur,Miller,26.0,F
418,Bryan,Murphy,,F
419,Alan,Ramirez,20.0,M
420,Ruth,Mckenzie,,M
421,Matthew,Ward,20.0,Unknown
422,Bryan,Dominguez,28.0,Unknown
423,David,Hernandez,,F
424,Jon,Johnson,30.0,F
425,Lawrence,Brewer,20.0,M
426,Joseph,Hernandez MD,,F
427,Nathan,Macias,,F
428,Edgar,Davis,20.0,F
429,Debra,Morgan,,Unknown
430,Stephanie,Taylor,20.0,F
431,Mr.,Justin Lam,20.0,F
432,Bethany,Lane,20.0,M
433,Alexander,Murphy,20.0,Unknown
434,Laura,Morgan,,Unknown
435,Jill,Stuart,28.0,M
436,Sheila,Reynolds,17.0,F
437,Nathan,King,20.0,F
438,Eric,Garcia,,F
439,Jennifer,Robinson,,M
440,Derrick,Clark,,M
441,Robert,Reed,,M
442,Robert,Farmer,,Unknown
443,Joshua,Carrillo,20.0,Unknown
444,Brandon,Garrett,,Unknown
445,Katherine,Espinoza,21.0,F
446,Antonio,Kramer,30.0,M
447,Gabriel,Taylor,19.0,F
448,Erica,Warner,20.0,M
449,Jerry,Miranda,,F
450,Tom,Hill,23.0,Unknown
451,Erik,Lamb,20.0,Unknown
452,Jennifer,Nelson,,M
453,Thomas,Randolph,20.0,F
454,James,Harding,20.0,Unknown
455,Brett,Bailey,,F
456,Brenda,Jones,,M
457,Ricardo,Johnson,20.0,F
458,Austin,Carroll,,Unknown
459,Dr.,Richard Peck PhD,29.0,M
460,Martin,Oliver,,F
461,Timothy,Clark,20.0,M
462,Johnny,Mcguire,20.0,Unknown
463,Howard,Sutton,,F
464,Erica,Porter,,F
465,Jennifer,Morris,20.0,M
466,Jeffrey,Sanchez,,F
467,Shannon,Rhodes,,M
468,Kathy,Jensen,20.0,F
469,Joseph,Guerra,,F
