student_id,first_name,last_name,age,gender,grade,major_id
1,John,Clark,twenty,Female,A+,1
2,Anthony,Rice,24,M,D,2
3,Tammy,Ramirez,-1,Female,D,1
4,Kari,Nguyen,twenty,M,B,3
5,Danielle,Mccann,twenty,F,C,3
6,Thomas,Rivera,twenty,F,F,4
7,Daniel,Williams,-1,,B,1
8,Gwendolyn,Davis,twenty,F,B,5
9,Thomas,Charles,18,M,D,4
10,Brian,Bryan,-1,F,B,6
11,Jamie,Bowen,,,B,4
12,Amy,Manning,,M,A,3
13,Theresa,Wood,-1,Male,Z,4
14,Brenda,Sloan,-1,F,A,4
15,Chelsey,Nelson DVM,twenty,F,A+,6
16,Brent,Chan,-1,M,C,6
17,Lisa,Shaffer,,M,B,4
18,Mike,Reynolds,twenty,F,A,5
19,Sean,Wood,,Female,C,3
20,Lisa,Mcknight,19,,A,1
21,Jonathan,Blackwell,17,,A,3
22,Joshua,Sanchez,,F,D,3
23,Briana,Beltran,-1,M,B,1
24,Heather,Friedman,,,Z,6
25,Emily,Williams,,F,B,1
26,Miss,Hannah Collins,-1,Female,A,4
27,Francisco,Contreras,twenty,Male,F,6
28,Anthony,Alexander,26,,A,2
29,Sierra,Crawford DDS,-1,M,Z,1
30,Tiffany,Rivas,30,M,F,6
31,Jessica,Dickerson,twenty,F,Z,5
32,Karen,Williams,30,,D,6
33,Tim,Holmes,,,C,3
34,Katie,Stewart,-1,,F,1
35,Amber,Hernandez,twenty,Male,B,5
36,Kenneth,Reynolds,twenty,,A,5
37,Tammy,Garza,twenty,M,D,1
38,Kimberly,Mccormick,,F,F,3
39,Dr.,Andrew Campbell,-1,,C,1
40,Robert,Johnson,twenty,M,Z,6
41,Bradley,Harris,twenty,,C,6
42,Heather,Miller,,F,F,1
43,John,Martinez,twenty,Female,D,4
44,Stacey,Green,22,Male,A,3
45,Steven,Woodard,,F,D,5
46,Scott,Cooley,-1,Female,Z,5
47,Sean,Solomon,-1,Female,C,5
48,Suzanne,Williams,25,M,D,4
49,Courtney,Garcia,twenty,M,Z,6
50,Charles,Gibbs,-1,Female,D,6
51,Joseph,Miller,28,F,B,3
52,Mr.,Carlos Lee,twenty,F,A,2
53,James,Tucker,-1,M,B,1
54,Nicole,Ellis,-1,,D,6
55,Michael,Walker,twenty,F,A+,4
56,Katherine,Andrews,-1,F,F,3
57,Darlene,Buck,17,Male,F,1
58,Steven,Brown,30,Male,B,2
59,Stephanie,Nguyen,twenty,Female,D,4
60,Cameron,Herrera,24,Male,A,6
61,Patricia,Holmes,-1,Male,D,5
62,Zachary,Steele,24,Male,C,3
63,Allison,Patrick MD,19,Female,B,6
64,Damon,Jones,30,F,Z,1
65,John,Harding,24,M,D,4
66,James,Estes,twenty,F,B,3
67,Edward,Webster,24,F,B,2
68,Marcus,Beard,twenty,F,Z,4
